AEKZALMFASFTNO-WJOKGBTCSA-N	CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(Cl)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C
AELBOLRAJBHJSP-UHFFFAOYSA-N	COc1cc2CCN(Cc2cc1OC)C(=O)C34CC5CC(C3)CC(C5)(C4)c6ccc(OCC(=O)Nc7cccc(c7)C#N)cc6
AELCICNFWFTRPE-KBPBESRZSA-N	Cc1c(O)c2ccccc2c(O)c1SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
AELCINSCMGFISI-DTWKUNHWSA-O	[NH3+][C@@H]1C[C@H]1c1ccccc1
AEMKILACVICPQY-OTVXOJSOSA-N	Nc1c(Cl)cc(cc1Cl)C(=O)N(C2CC2)[C@@H]3CC[C@@H](CC3)C(=O)N4CCCC4
AENCTNCRKXVXOM-UHFFFAOYSA-N	CN(C)C(=O)c1cc(C)c2nc([nH]c2c1)C3=C(NCC(O)c4cccc(Cl)c4)C=CNC3=O
AERGOPGHMOKOEI-UHFFFAOYSA-O	C[NH2+]CCc1c[nH]c2c1cc(F)cc2
AESGURZHBVMCOS-UHFFFAOYSA-N	CCCCc1oc2ccccc2c1Cc3ccc(cc3)c4ccc(O)cc4
AESPUDBVEVJROB-UHFFFAOYSA-N	CC(C)COC(=O)N1CCC(C(Cc2cccc(OCCc3nc(oc3C)c4ccccc4)c2)C1)C(=O)O
AETHRPHBGJAIBT-UHFFFAOYSA-M	N#Cc1cc(ccc1OCC(C)(C)C)n1ncc(c1)C(=O)[O-]
AETHRPHBGJAIBT-UHFFFAOYSA-N	CC(C)(C)COc1ccc(cc1C#N)n2cc(cn2)C(=O)O
AEUIUCYFDYDPMI-BMGUUROBSA-N	Cc1ccccc1CO[C@@H]2CC[C@@H](CC2)NC(=O)NC34CC5CC(CC(C5)C3)C4
AEUIUCYFDYDPMI-JJGZGVRBSA-N	Cc1ccccc1CO[C@@H]2CC[C@H](CC2)NC(=O)NC34CC5CC(CC(C5)C3)C4
AEULVFLPCJOBCE-UHFFFAOYSA-N	COc1ccc(cc1)CCCn1ncc2c1nc(N)n1c2nc(n1)c1ccco1
AEUMWBGWKJJBGE-BJKOFHAPSA-N	COc1ccc(cc1OC)C2=NN(Cc3ccccc3CN4CCOCC4)C(=O)[C@@H]5CCCC[C@H]25
AEWLECDUIOHVBW-QBNMFFNISA-N	COc1ccc2c(c1)C(=O)O[C@@]23CC[C@H](CC3)C(=O)N(C)CCN4CCCCC4
AEXAYHMFAIXNSU-UHFFFAOYSA-N	CN(C1CCN(C)CC1)c2ccc3[nH]c(nc3c2)c4[nH]nc5ccccc45
AEYOFSDOUDWPBA-GXVXDJONSA-N	Cc1cccc(c1)n2nc(cc2\C(=N\O)\C(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C
AFCLEMNPGSUBDT-UHFFFAOYSA-N	CN1C(=O)NC(=O)c2c1nc(S)n2Cc3ccc(Cl)cc3
AFCQMXUQLBHIRF-VIZOYTHASA-N	COC(=O)c1sccc1c1ccc(o1)/C(=N/NC(=O)N)/C
AFCXUMJPOGOVIU-UHFFFAOYSA-N	Oc1cc(C#N)c2oc(cc2c1)c3ccc(O)c(F)c3
AFDUEISTJMYVSO-UHFFFAOYSA-N	NCc1ccc(cc1)n2c(nc3cnccc23)c4nonc4N
AFEKMHLSVOVPBJ-UHFFFAOYSA-N	CN(C1CCOCC1)C(=O)CNC(=O)c2cc3cc(Cl)ccc3[nH]2
AFELDORIFDMULD-UHFFFAOYSA-N	Nc1nccc(n1)c2c[nH]c3nc(Br)ccc23
AFEOLFPUJYURJM-UHFFFAOYSA-N	CN(Cc1ccccc1)c2nc3c(nnn3c4ccsc24)S(=O)(=O)c5cccc(Cl)c5
AFEOXYGIEXXWKX-NRFANRHFSA-N	CC(C)C(=O)Nc1ccc(C)c(c1)C2CCN(CCCNC(=O)[C@@H](C)c3ccc(F)cc3)CC2
AFESFZWSOGZXGN-UHFFFAOYSA-N	CN(C)C=O.O=C(Nc1cccc(c1)S(=O)(=O)NC2=NCCCCC2)c3cc(nc4ccccc34)c5occc5
